2023-04-24 23:47:46.865 [info] Log level: Info
2023-04-24 23:47:46.865 [info] Validating found git in: "git"
2023-04-24 23:47:46.865 [info] Using git "2.40.0" from "git"
2023-04-24 23:47:46.893 [info] > git rev-parse --show-toplevel [70ms]
2023-04-24 23:47:46.927 [info] > git rev-parse --show-toplevel [11ms]
2023-04-24 23:47:46.957 [info] > git rev-parse --show-toplevel [23ms]
2023-04-24 23:47:47.115 [info] > git rev-parse --show-toplevel [149ms]
2023-04-24 23:47:47.244 [info] > git rev-parse --show-toplevel [120ms]
2023-04-24 23:47:47.285 [info] > git rev-parse --show-toplevel [33ms]
2023-04-24 23:47:47.376 [info] > git rev-parse --show-toplevel [81ms]
2023-04-24 23:47:47.398 [info] > git rev-parse --show-toplevel [12ms]
2023-04-24 23:47:47.424 [info] > git rev-parse --show-toplevel [17ms]
2023-04-24 23:47:47.458 [info] > git rev-parse --show-toplevel [5ms]
2023-04-24 23:47:47.532 [info] > git rev-parse --show-toplevel [12ms]
2023-04-24 23:47:47.588 [info] > git rev-parse --show-toplevel [13ms]
2023-04-24 23:49:03.252 [info] > git rev-parse --show-toplevel [21ms]
2023-04-24 23:51:01.685 [info] > git rev-parse --show-toplevel [14ms]
2023-04-24 23:51:02.067 [info] > git rev-parse --show-toplevel [4ms]
2023-04-24 23:51:05.082 [info] > git rev-parse --show-toplevel [15ms]
2023-04-25 00:13:07.777 [info] > git rev-parse --show-toplevel [12ms]
2023-04-25 00:13:08.362 [info] > git rev-parse --show-toplevel [14ms]
2023-04-25 00:13:09.638 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 00:13:10.869 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 00:22:45.714 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 00:23:36.100 [info] > git rev-parse --show-toplevel [4ms]
2023-04-25 00:23:45.047 [info] > git rev-parse --show-toplevel [7ms]
2023-04-25 00:23:52.312 [info] > git rev-parse --show-toplevel [3ms]
2023-04-25 00:23:59.876 [info] > git rev-parse --show-toplevel [2ms]
2023-04-25 00:29:00.424 [info] > git rev-parse --show-toplevel [14ms]
2023-04-25 00:48:29.717 [info] > git rev-parse --show-toplevel [28ms]
