2023-04-27 15:55:03.123 [info] Log level: Info
2023-04-27 15:55:03.123 [info] Validating found git in: "git"
2023-04-27 15:55:03.123 [info] Using git "2.40.0" from "git"
2023-04-27 15:55:03.125 [info] > git rev-parse --show-toplevel [30ms]
2023-04-27 15:55:03.152 [info] > git rev-parse --show-toplevel [9ms]
2023-04-27 15:55:03.170 [info] > git rev-parse --show-toplevel [13ms]
2023-04-27 15:55:03.503 [info] > git rev-parse --show-toplevel [327ms]
2023-04-27 15:55:03.627 [info] > git rev-parse --show-toplevel [117ms]
2023-04-27 15:55:03.668 [info] > git rev-parse --show-toplevel [32ms]
2023-04-27 15:55:03.694 [info] > git rev-parse --show-toplevel [20ms]
2023-04-27 15:55:03.707 [info] > git rev-parse --show-toplevel [5ms]
2023-04-27 15:55:03.760 [info] > git rev-parse --show-toplevel [26ms]
2023-04-27 15:55:03.801 [info] > git rev-parse --show-toplevel [33ms]
2023-04-27 15:55:03.848 [info] > git rev-parse --show-toplevel [26ms]
2023-04-27 15:55:08.676 [info] > git rev-parse --show-toplevel [36ms]
2023-04-27 15:55:22.305 [info] > git rev-parse --show-toplevel [32ms]
2023-04-27 15:55:26.621 [info] > git rev-parse --show-toplevel [30ms]
2023-04-27 15:58:14.070 [info] > git rev-parse --show-toplevel [24ms]
2023-04-27 15:59:21.728 [info] > git rev-parse --show-toplevel [22ms]
2023-04-27 15:59:26.462 [info] > git rev-parse --show-toplevel [24ms]
2023-04-27 15:59:32.364 [info] > git rev-parse --show-toplevel [34ms]
2023-04-27 16:00:12.774 [info] > git rev-parse --show-toplevel [6ms]
2023-04-27 16:00:16.264 [info] > git rev-parse --show-toplevel [26ms]
2023-04-27 16:00:38.962 [info] > git rev-parse --show-toplevel [22ms]
2023-04-27 16:01:06.622 [info] > git rev-parse --show-toplevel [25ms]
2023-04-27 16:01:14.835 [info] > git rev-parse --show-toplevel [31ms]
2023-04-27 16:02:00.952 [info] > git rev-parse --show-toplevel [20ms]
2023-04-27 16:06:30.067 [info] > git rev-parse --show-toplevel [23ms]
2023-04-27 16:08:02.761 [info] > git rev-parse --show-toplevel [22ms]
2023-04-27 16:08:03.898 [info] > git rev-parse --show-toplevel [21ms]
2023-04-27 16:29:58.115 [info] > git rev-parse --show-toplevel [6ms]
2023-04-27 16:30:03.471 [info] > git rev-parse --show-toplevel [4ms]
2023-04-27 16:31:27.112 [info] > git rev-parse --show-toplevel [5ms]
2023-04-27 16:31:58.112 [info] > git rev-parse --show-toplevel [7ms]
